Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,150.75,151.72,148.37,150.75,150.75,40590972
2024-01-02,150.54,151.82,148.46,150.54,150.54,46010502
2024-01-03,151.51,153.03,150.85,151.51,151.51,43843291
2024-01-04,153.79,154.52,153.54,153.79,153.79,31526982
2024-01-05,153.44,153.78,151.4,153.44,153.44,25805013
2024-01-08,153.09,154.92,151.13,153.09,153.09,47811773
2024-01-09,155.46,156.33,154.64,155.46,155.46,25321333
2024-01-10,156.61,158.35,153.76,156.61,156.61,49031525
2024-01-11,155.91,156.37,155.46,155.91,155.91,27279636
2024-01-12,156.72,158.16,155.42,156.72,156.72,49083478
2024-01-15,156.03,157.63,153.2,156.03,156.03,19426807
2024-01-16,155.33,155.49,154.07,155.33,155.33,27438118
2024-01-17,155.69,156.7,153.77,155.69,155.69,36535897
2024-01-18,152.82,153.22,151.63,152.82,152.82,39319409
2024-01-19,150.23,150.42,149.41,150.23,150.23,28463212
2024-01-22,149.39,152.36,146.44,149.39,149.39,40596308
2024-01-23,147.87,148.84,146.64,147.87,147.87,30023633
2024-01-24,148.34,150.77,145.66,148.34,148.34,19091044
2024-01-25,146.98,147.74,146.29,146.98,146.98,37709612
2024-01-26,144.86,146.9,144.22,144.86,144.86,24942371
2024-01-29,147.06,149.34,146.97,147.06,147.06,11551330
2024-01-30,146.72,148.51,144.76,146.72,146.72,10971248
2024-01-31,146.82,148.23,145.71,146.82,146.82,14657851
2024-02-01,144.69,145.93,142.1,144.69,144.69,33472522
2024-02-02,143.87,144.92,142.45,143.87,143.87,15378750
2024-02-05,144.03,146.82,141.13,144.03,144.03,12607411
2024-02-06,142.31,144.8,141.75,142.31,142.31,11693439
2024-02-07,142.87,145.77,140.26,142.87,142.87,28608310
2024-02-08,141.97,142.34,139.64,141.97,141.97,46991604
2024-02-09,141.53,143.72,139.22,141.53,141.53,26604953
2024-02-12,140.63,143.45,138.1,140.63,140.63,19447933
2024-02-13,143.41,143.95,141.13,143.41,143.41,32700577
2024-02-14,143.39,143.59,141.51,143.39,143.39,49096943
2024-02-15,141.8,144.02,141.41,141.8,141.8,22807931
2024-02-16,143.04,144.76,142.94,143.04,143.04,41216359
2024-02-19,141.2,143.73,138.44,141.2,141.2,13815144
2024-02-20,141.52,141.94,139.67,141.52,141.52,30213468
2024-02-21,138.58,140.97,136.19,138.58,138.58,26541107
2024-02-22,136.59,137.19,135.15,136.59,136.59,10817052
2024-02-23,136.88,137.37,136.53,136.88,136.88,37151781
2024-02-26,137.99,138.48,137.61,137.99,137.99,17596585
2024-02-27,138.25,140.69,136.19,138.25,138.25,26177172
2024-02-28,138.07,140.07,136.78,138.07,138.07,23302313
2024-02-29,137.62,139.19,137.02,137.62,137.62,16269324
2024-03-01,135.4,136.48,133.93,135.4,135.4,44982512
2024-03-04,134.32,136.95,134.13,134.32,134.32,19490536
2024-03-05,133.63,134.81,131.88,133.63,133.63,46075711
2024-03-06,135.22,137.67,134.41,135.22,135.22,34281104
2024-03-07,135.73,137.05,133.34,135.73,135.73,20488951
2024-03-08,133.09,134.22,132.16,133.09,133.09,22485000
2024-03-11,133.58,134.97,132.21,133.58,133.58,32897064
2024-03-12,133.0,133.9,132.97,133.0,133.0,12726016
2024-03-13,131.98,134.22,131.76,131.98,131.98,10442939
2024-03-14,132.9,134.41,131.72,132.9,132.9,30060188
2024-03-15,134.45,135.15,133.01,134.45,134.45,46266225
2024-03-18,135.84,138.54,134.04,135.84,135.84,40822201
2024-03-19,134.58,135.73,133.71,134.58,134.58,23135871
2024-03-20,134.12,135.75,132.04,134.12,134.12,45873556
2024-03-21,134.62,137.34,132.04,134.62,134.62,23331233
2024-03-22,136.08,137.95,133.74,136.08,136.08,29296186
2024-03-25,135.36,135.71,135.24,135.36,135.36,45281840
2024-03-26,135.08,137.9,133.64,135.08,135.08,29578958
2024-03-27,133.42,135.3,133.11,133.42,133.42,27832891
2024-03-28,131.63,132.63,130.9,131.63,131.63,21952983
2024-03-29,132.85,133.27,129.89,132.85,132.85,42038060
2024-04-01,134.88,137.26,134.45,134.88,134.88,23137311
2024-04-02,134.78,136.64,133.28,134.78,134.78,26751531
2024-04-03,136.28,137.88,134.43,136.28,136.28,34795222
2024-04-04,136.82,139.5,134.71,136.82,136.82,45874916
2024-04-05,135.86,138.23,134.18,135.86,135.86,14105223
2024-04-08,136.4,136.86,136.37,136.4,136.4,39084871
2024-04-09,138.7,139.64,137.72,138.7,138.7,38634616
2024-04-10,138.65,139.4,137.1,138.65,138.65,21963776
2024-04-11,141.0,143.23,140.74,141.0,141.0,32572466
2024-04-12,137.07,137.17,136.02,137.07,137.07,47609879
2024-04-15,138.3,140.01,138.2,138.3,138.3,28557968
2024-04-16,138.43,140.72,138.19,138.43,138.43,24501508
2024-04-17,137.98,140.61,136.79,137.98,137.98,46847763
2024-04-18,138.12,139.15,137.72,138.12,138.12,23457684
2024-04-19,135.14,137.6,133.44,135.14,135.14,47889950
2024-04-22,134.81,135.14,132.74,134.81,134.81,40981347
2024-04-23,135.35,137.89,132.95,135.35,135.35,35568906
2024-04-24,137.56,137.94,136.96,137.56,137.56,18589747
